,RET(1),RET(1),RET(1),RET(1),RET(1)
ABNR,0.27825742217567195,0.27351520439395605,0.3128592516719503,0.2778178371738729,
ABPR,0.23834015104776798,0.23486228947061383,0.2869961223009986,0.2523543393011391,
RET_CO_M,0.53172467238349,0.5273544862001347,0.5263270527994607,0.5345142580045034,0.5345145264025093
RET_OC_M,0.5382077948023603,0.5341235705780436,0.5287685439787156,0.4770472595840782,0.4770472531424327
SIZE,,0.21685678972503863,0.2712391211885039,0.2421812539997831,0.242180933992244
BM,,0.2878771038355982,0.33772489752410395,0.30446975388873004,0.3044694325794742
RET_6M,,0.5297475279790294,0.5299433858874568,0.5436851850966331,0.5436852735700265
GPA,,,0.2869961223009986,0.2523543393011391,0.2523544107757246
ATGTH,,,0.36723729996622634,0.37295905879820235,0.3729589150609149
TURN_M,,,,0.2435487381102255,0.24354835050778656
ILLIQ_M,,,,0.2418423088343613,0.24184201699503774
