,ABPR,ABNR,RET,RET_OC_M,RET_CO_M,SIZE,BM,RET_6M,GPA,ATGTH,TURN_M,ILLIQ_M
ABPR,1.0,-0.406319759268177,-0.07751433096078184,-0.39402170824829114,0.46533920098605575,0.21605263501831332,0.04457179448378424,0.33628227113587134,1.0,-0.10497354117031364,0.35053742704153007,-0.23828267966415034
ABNR,-0.406319759268177,1.0,0.10145640535597608,0.5640690682781863,-0.6293925682570467,0.07728356882432784,-0.20023619633508186,-0.45741871424837666,-0.406319759268177,0.07315533304858636,-0.08294033238377589,0.22801575947482788
RET,-0.07751433096078184,0.10145640535597608,1.0,0.6325230857421594,0.3943748007973744,-0.12101238168839194,-0.4325714863666767,0.13288529342719205,-0.07751433096078184,-0.4171569767349105,-0.0480607939242709,0.11328316675830977
RET_OC_M,-0.39402170824829114,0.5640690682781863,0.6325230857421594,1.0,-0.38304324076771973,-0.07614886109644685,-0.4625700939396807,-0.2237842392799669,-0.39402170824829114,-0.2846210633925103,-0.19057143322718023,0.33313875596813924
RET_CO_M,0.46533920098605575,-0.6293925682570467,0.3943748007973744,-0.38304324076771973,1.0,-0.03545517592908003,0.010976932964784164,0.596638926995995,0.46533920098605575,-0.26468629000400945,0.21313493266241362,-0.27615031504416243
SIZE,0.21605263501831332,0.07728356882432784,-0.12101238168839194,-0.07614886109644685,-0.03545517592908003,1.0,-0.13133498329924845,-0.06950973145910719,0.21605263501831345,0.0884067722808487,0.9085719298050516,-0.6387000716231345
BM,0.04457179448378424,-0.20023619633508186,-0.4325714863666767,-0.4625700939396807,0.010976932964784164,-0.13133498329924845,1.0,0.12244777878965384,0.04457179448378416,0.2508603916088933,-0.09444437972575005,-0.1625693546286917
RET_6M,0.33628227113587134,-0.45741871424837666,0.13288529342719205,-0.2237842392799669,0.596638926995995,-0.06950973145910719,0.12244777878965384,1.0,0.33628227113587106,-0.11725555129521283,0.09163757948149798,-0.18530862881356963
GPA,1.0,-0.406319759268177,-0.07751433096078184,-0.39402170824829114,0.46533920098605575,0.21605263501831345,0.04457179448378416,0.33628227113587106,1.0,-0.10497354117031364,0.35053742704153007,-0.23828267966415034
ATGTH,-0.10497354117031364,0.07315533304858636,-0.4171569767349105,-0.2846210633925103,-0.26468629000400945,0.0884067722808487,0.2508603916088933,-0.11725555129521283,-0.10497354117031364,1.0,0.0614662639244777,-0.1900511241187394
TURN_M,0.35053742704153007,-0.08294033238377589,-0.0480607939242709,-0.19057143322718023,0.21313493266241362,0.9085719298050516,-0.09444437972575005,0.09163757948149798,0.35053742704153007,0.0614662639244777,1.0,-0.7604884490699529
ILLIQ_M,-0.23828267966415034,0.22801575947482788,0.11328316675830977,0.33313875596813924,-0.27615031504416243,-0.6387000716231345,-0.1625693546286917,-0.18530862881356963,-0.23828267966415034,-0.1900511241187394,-0.7604884490699529,1.0
