Date,AAPL,AMZN,TSLA,GOOGL,PFE
2019-01,0.0,0.00749549062049062,0.0018825156325156325,0.0,0.013259980759980762
2019-02,0.0,0.006581021858799635,0.0023488856822190154,0.0,0.014733311955534178
2019-03,0.0,0.0031697931697931697,0.0,0.0,0.006213323713323712
2019-04,0.0,0.003378126503126503,0.005061327561327562,0.0,0.019264971139971138
2019-05,0.0,0.006812455621979431,0.004820311963169105,0.0,0.025975171213266448
2019-06,0.0,0.007575724265474958,0.0,0.0,0.0
2019-07,0.0,0.0076100846150971456,0.00517934446505875,0.0,0.024236698046221854
2019-08,0.0,0.0,0.0,0.0,0.0
2019-09,0.0,0.008847177752994926,0.009933376103736215,0.0,0.0050006562125675695
2019-10,0.0,0.016658899314401707,0.0028596082722876976,0.0,0.02503726890688613
2019-11,0.0,0.0,0.0031033691352250906,0.0,0.0
2019-12,0.0,0.004141382496645655,0.0,0.0,0.0
2020-01,0.0,0.007866098326624642,0.009400157590947063,0.0,0.014024597478544844
2020-02,0.00025720164609053495,0.013881768815979344,0.0034815398484989123,0.0,0.016354491025543656
2020-03,0.0011967750062988156,0.013004101161995898,0.010653211311106046,0.0,0.02092062768754498
2020-04,0.0,0.004551435406698565,0.0035202906255537834,0.0,0.005074998101313891
2020-05,0.0008922159199167509,0.009669908423371027,0.003518698394044654,0.0,0.015597606456332217
2020-06,0.0,0.0,0.0,0.0,0.0048930045170646665
2020-07,0.0,0.003767806963295685,0.006367168522556993,0.0,0.009030151135414293
2020-08,0.0,0.0,0.0,0.0,0.004949162679425838
2020-09,0.0,0.003725934153565733,0.0028932020708336494,0.0,0.016064593301435406
2020-10,0.0,0.003015972470859689,0.0027640198379546748,0.0,0.004386959462147432
2020-11,0.0,0.0035642835158070612,0.010549949434990984,0.0,0.0
2020-12,0.0,0.006808688387635755,0.015750354722785798,0.0,0.004575923936826193
2021-01,0.0,0.0,0.0041566106624586156,0.0,0.0103170735480677
2021-02,0.000941783471023237,0.0029943686376434917,0.014013041863919058,0.0,0.009802670255886629
2021-03,0.0,0.0045063301044162285,0.0,0.0,0.003460858873538299
2021-04,0.0,0.0024784815574289258,0.0,0.0,0.0
2021-05,0.0004745049758900174,0.0023780876966472534,0.0035793064532676716,0.0,0.011364036087027777
2021-06,0.0,0.005059064206933881,0.011415940645263953,0.0,0.0
2021-07,0.0,0.002665929343560923,0.00380708716235032,0.0,0.0
2021-08,0.0,0.0,0.0,0.0,0.0
2021-09,0.0,0.002665929343560923,0.008030840991367307,0.0,0.0
2021-10,0.00065911306042885,0.005768366623629781,0.0,0.0,0.0
2021-11,0.0,0.002873218399534189,0.0,0.0,0.0047765879344826715
2021-12,0.0008166911988967127,0.008776088851276821,0.005261500311625623,0.0,0.00795748389733352
2022-01,0.0,0.0034641361511167606,0.0,0.0,0.009410687804039603
2022-02,0.0,0.007827579611205341,0.0,0.0,0.003053966284960437
2022-03,0.0,0.0,0.00402754475720983,0.0,0.0053417519924696955
2022-04,0.0,0.0,0.0,0.0,0.003323433517339334
2022-05,0.0,0.0062653160679476474,0.015187590187590187,0.0,0.0058320675425938585
2022-06,0.0,0.00294416597048176,0.005717893217893217,0.0,0.003124367104630263
2022-07,0.0006589939761684913,0.003110664087118381,0.003020959496028748,0.0,0.003519647737099261
2022-08,0.0007413074697763692,0.006061670475546074,0.013190862832011157,0.0,0.0067680967800585025
2022-09,0.0010237715500873395,0.007084504189767348,0.011507461836409204,0.0,0.008278239791397687
2022-10,0.0,0.015835675046201363,0.0040441539454697355,0.0,0.00911157312473102
2022-11,0.0,0.003958918761550341,0.008921641224272803,0.0,0.0
2022-12,0.0037260765550239236,0.007560694665957825,0.014066985645933013,0.0,0.0037522151337940814
